ALBERT,BART,BERT,DistilBERT,ELECTRA,ELMO,Falcon,Fasttext,Glove,LLAMA,RoBERTa,W2V,XLNET,LLAMA3,MISTRAL,TRUE,Min_IH,Prediction,Selected,Accuracy,Oracle_view
3 (0.84),3 (0.8),1 (0.84),4 (0.84),4 (0.84),1 (0.72),1 (0.76),4 (0.88),3 (0.84),3 (0.76),1 (0.72),3 (0.76),4 (0.84),3 (0.84),3 (0.68),2,MISTRAL,"(3,)",MISTRAL,FALSE,FALSE
4 (0.6),3 (0.76),4 (0.6),4 (0.8),4 (0.96),1 (0.64),3 (0.76),4 (0.72),4 (0.72),1 (0.8),4 (0.52),1 (0.72),1 (0.76),3 (0.76),3 (0.68),5,RoBERTa,"(4,)",RoBERTa,FALSE,FALSE
1 (0.8),1 (0.8),3 (0.8),3 (0.64),3 (0.88),4 (0.84),3 (0.72),3 (0.8),3 (0.88),1 (0.96),3 (0.84),3 (0.72),0 (0.96),4 (0.96),3 (0.72),4,DistilBERT,"(3,)",DistilBERT,FALSE,TRUE
3 (0.76),3 (0.76),3 (0.92),3 (0.88),3 (0.88),2 (0.88),2 (0.6),1 (0.72),1 (0.72),3 (0.68),3 (0.6),1 (0.76),3 (0.84),3 (0.72),2 (0.6),3,"Falcon,RoBERTa,MISTRAL","(2, 3, 2)",RoBERTa,TRUE,TRUE
4 (0.8),4 (0.88),3 (0.96),3 (0.8),4 (0.8),2 (0.52),4 (0.52),4 (0.76),4 (0.72),4 (0.64),5 (0.92),2 (0.52),3 (0.76),4 (0.84),4 (0.8),4,"ELMO,Falcon,W2V","(2, 4, 2)",Falcon,TRUE,TRUE
2 (0.84),2 (0.84),1 (0.72),1 (0.64),3 (0.8),1 (0.88),2 (0.76),1 (0.96),1 (0.6),1 (0.84),3 (0.76),1 (0.96),3 (0.84),2 (0.84),1 (0.68),5,Glove,"(1,)",Glove,FALSE,FALSE
2 (0.72),4 (0.92),3 (0.8),1 (0.76),4 (0.76),2 (0.64),3 (0.88),3 (0.88),1 (0.68),3 (0.64),3 (0.76),1 (0.76),2 (0.76),3 (0.8),2 (0.88),3,"ELMO,LLAMA","(2, 3)",LLAMA,TRUE,TRUE
1 (0.92),1 (0.72),3 (0.92),1 (0.72),1 (0.84),1 (0.76),1 (0.72),3 (0.84),1 (0.72),3 (0.96),1 (0.8),1 (0.92),1 (0.84),1 (0.76),1 (0.76),1,"BART,DistilBERT,Falcon,Glove","(1, 1, 1, 1)",BART,TRUE,TRUE
4 (0.76),3 (0.68),4 (0.8),3 (0.88),1 (0.72),4 (0.8),4 (0.8),4 (0.84),4 (0.8),4 (0.72),3 (0.88),3 (0.8),1 (0.88),4 (0.84),3 (0.76),3,BART,"(3,)",BART,TRUE,TRUE
2 (0.76),1 (0.84),2 (0.84),2 (0.76),3 (0.72),0 (0.76),2 (0.84),3 (0.88),2 (0.8),2 (0.68),2 (0.92),2 (0.72),3 (0.84),2 (0.8),0 (0.88),2,LLAMA,"(2,)",LLAMA,TRUE,TRUE
5 (0.88),1 (0.64),4 (0.76),5 (0.84),4 (0.8),5 (0.72),4 (0.72),4 (0.84),4 (0.88),3 (0.8),4 (0.72),1 (0.84),1 (0.84),4 (0.68),1 (0.72),1,BART,"(1,)",BART,TRUE,TRUE
1 (0.88),3 (0.8),2 (0.76),1 (0.88),3 (0.88),2 (0.64),1 (0.76),2 (0.6),1 (0.68),1 (0.68),1 (0.8),1 (0.68),2 (0.84),1 (0.68),1 (0.72),4,Fasttext,"(2,)",Fasttext,FALSE,FALSE
2 (0.84),1 (0.84),5 (0.88),3 (0.76),2 (0.84),3 (0.84),2 (0.76),0 (0.88),3 (0.8),1 (0.92),3 (0.84),2 (0.72),3 (0.88),2 (0.92),2 (0.72),4,"W2V,MISTRAL","(2, 2)",W2V,FALSE,FALSE
3 (0.72),3 (0.84),1 (0.76),1 (0.8),0 (0.72),1 (0.88),1 (0.6),0 (0.84),1 (0.8),1 (0.84),1 (0.84),3 (0.72),1 (0.84),2 (0.72),1 (0.6),3,"Falcon,MISTRAL","(1, 1)",MISTRAL,FALSE,TRUE
3 (0.68),1 (0.8),3 (0.6),3 (0.84),3 (0.88),4 (0.8),3 (0.72),4 (0.92),1 (0.6),3 (0.8),3 (0.92),3 (0.92),1 (0.76),3 (0.84),3 (0.8),1,"BERT,Glove","(3, 1)",Glove,TRUE,TRUE
1 (0.64),1 (0.88),1 (0.72),2 (0.88),1 (0.8),0 (0.76),1 (0.84),1 (0.84),5 (0.88),0 (0.84),0 (0.72),2 (0.72),3 (0.72),1 (0.76),0 (0.8),0,ALBERT,"(1,)",ALBERT,FALSE,TRUE
3 (0.84),1 (0.92),3 (0.88),3 (0.72),1 (0.92),2 (0.64),2 (0.84),2 (0.72),1 (0.96),1 (0.8),4 (0.72),3 (0.76),1 (0.92),5 (0.64),1 (0.84),5,"ELMO,LLAMA3","(2, 5)",LLAMA3,TRUE,TRUE
1 (0.72),3 (0.76),4 (0.76),0 (0.92),4 (0.76),5 (0.88),4 (0.8),5 (0.88),4 (0.92),5 (0.8),5 (0.88),5 (0.76),5 (0.68),4 (0.68),3 (0.92),5,"XLNET,LLAMA3","(5, 4)",XLNET,TRUE,TRUE
4 (0.84),1 (0.68),5 (0.88),3 (0.72),3 (0.64),5 (0.84),4 (0.8),5 (0.8),4 (0.72),4 (0.88),3 (0.72),5 (0.8),5 (0.88),4 (0.84),4 (0.84),3,ELECTRA,"(3,)",ELECTRA,TRUE,TRUE
3 (0.92),3 (0.72),2 (0.88),3 (0.72),2 (0.8),4 (0.88),1 (0.8),3 (0.8),1 (0.72),3 (0.84),3 (0.96),1 (0.88),0 (0.76),3 (0.88),1 (0.72),3,"BART,DistilBERT,Glove,MISTRAL","(3, 3, 1, 1)",BART,TRUE,TRUE
4 (0.88),3 (0.8),4 (0.76),4 (0.72),4 (0.84),4 (0.68),4 (0.76),3 (0.8),3 (0.84),4 (0.72),4 (0.72),3 (0.84),4 (0.68),4 (0.68),4 (0.76),5,"ELMO,XLNET,LLAMA3","(4, 4, 4)",XLNET,FALSE,FALSE
1 (0.76),2 (0.8),1 (0.88),3 (0.76),3 (0.88),1 (0.88),1 (0.76),1 (0.84),1 (0.88),1 (0.88),1 (0.92),1 (0.84),5 (0.84),1 (0.8),3 (0.72),1,MISTRAL,"(3,)",MISTRAL,FALSE,TRUE
4 (0.88),4 (0.76),4 (0.8),4 (0.76),2 (0.92),3 (0.84),3 (0.88),5 (0.76),5 (0.68),5 (0.8),5 (0.68),4 (0.8),3 (0.6),4 (0.88),5 (0.72),2,XLNET,"(3,)",XLNET,FALSE,TRUE
4 (0.8),3 (0.8),2 (0.84),2 (0.64),2 (0.84),1 (0.64),1 (0.76),2 (0.84),1 (0.8),1 (0.84),1 (0.84),1 (0.84),3 (0.84),1 (0.84),1 (0.92),1,"DistilBERT,ELMO","(2, 1)",ELMO,TRUE,TRUE
1 (0.68),3 (0.76),1 (0.72),3 (0.8),1 (0.6),1 (0.4),1 (0.96),3 (0.8),1 (0.92),1 (0.64),1 (0.64),3 (0.76),1 (0.76),1 (0.6),1 (0.6),1,ELMO,"(1,)",ELMO,TRUE,TRUE
1 (0.76),3 (0.72),2 (0.76),3 (0.84),1 (0.84),2 (0.8),4 (0.88),3 (0.84),3 (0.6),3 (0.68),3 (0.76),1 (0.84),3 (0.84),2 (0.8),3 (0.72),4,Glove,"(3,)",Glove,FALSE,TRUE
5 (0.64),5 (0.88),4 (0.68),1 (0.36),4 (0.68),4 (0.52),4 (0.4),4 (0.56),4 (0.72),4 (0.44),4 (0.56),4 (0.28),1 (0.28),4 (0.52),5 (0.4),1,"W2V,XLNET","(4, 1)",XLNET,TRUE,TRUE
3 (0.76),4 (0.76),3 (0.92),1 (0.68),3 (0.88),1 (0.8),2 (0.8),3 (0.8),3 (0.84),2 (0.76),3 (0.96),1 (0.76),3 (0.92),2 (0.64),1 (0.8),1,LLAMA3,"(2,)",LLAMA3,FALSE,TRUE
